Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,F,22,1,0,1,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,F,24,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,F,27,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,F,73,1,0,0,0
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,2,1,0,0,0
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,5,2,0,0,2
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,6,2,0,0,0
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,7,2,0,0,0
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,8,1,0,0,0
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,19,1,0,0,0
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,23,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843128,M,65,1,0,0,0
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Minapur,843165,M,5,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,0,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,3,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,4,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,6,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,9,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,10,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,14,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,20,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,21,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,24,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,29,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,40,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,F,75,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,3,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,4,2,0,1,2
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,5,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,6,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,8,3,0,1,3
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,12,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,23,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,28,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,30,1,0,0,1
Bank Of India,SREI INFRASTRUCTURE FINANCES L,Bihar,Muzaffarpur,Musahri,842001,M,44,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606201,F,5,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606202,F,5,2,0,0,2
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606202,M,4,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606202,M,37,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606202,M,48,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606203,F,5,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606203,F,24,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606203,M,22,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606204,F,1,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606204,F,3,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606204,F,5,2,0,0,2
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606204,M,5,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,4,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,6,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,7,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,8,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,18,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,34,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,36,0,1,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606206,M,92,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606207,M,5,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606207,M,56,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606213,F,5,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606213,F,6,1,0,0,0
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606213,M,4,1,0,0,1
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Kallakkurichi,606213,M,5,2,0,0,2
CSC e-Governance Services India Limited,CSC SPV,Tamil Nadu,Villupuram,Sankarapuram,605702,F,5,1,0,0,0
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seelam Pur,110094,M,0,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seelam Pur,110094,M,1,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seelam Pur,110094,M,13,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seelam Pur,110094,M,19,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seelam Pur,110094,M,53,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seelam Pur,110094,M,56,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seema Puri,110093,F,41,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seema Puri,110093,M,6,2,0,0,2
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Seema Puri,110093,M,7,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Delhi,North East Delhi,Shahdara,110093,M,6,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,F,0,1,0,0,0
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,F,4,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,F,6,1,0,0,0
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,F,9,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,M,0,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,M,2,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,M,3,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chainpur,822110,M,25,1,0,0,0
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,F,3,2,0,1,2
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,F,4,2,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,F,7,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,F,10,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,M,0,2,0,1,2
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,M,1,1,0,1,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,M,2,2,0,1,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,M,3,2,0,1,2
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Chhatarpur,822113,M,20,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Daltonganj,822101,F,2,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Daltonganj,822132,F,72,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Hariharganj,822113,M,3,0,1,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Hariharganj,822113,M,4,1,1,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Hariharganj,822113,M,20,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Hariharganj,822113,M,22,1,0,1,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Leslieganj,822118,M,4,1,0,0,1
DENA BANK,Zephyr System Pvt.Ltd.,Jharkhand,Palamu,Patan,822123,F,0,2,0,0,0

